NOK_per_kWh,time_start,consumption,consumption_cost,consumption_with_battery,consumption_cost_with_battery
1.54142,2022-04-17T11:00:00+02:00,2.674002744,4.12176130965648,3.0000000239999998,4.624260036994079
1.4354900000000002,2022-04-17T12:00:00+02:00,1.7826685199999999,2.5590028337748,3.0000000239999998,4.30647003445176
1.21741,2022-04-17T13:00:00+02:00,2.277854208,2.77308249136128,3.0000000239999998,3.65223002921784
0.93061,2022-04-17T14:00:00+02:00,2.277854208,2.11979390450688,3.0000000239999998,2.79183002233464
0.6701400000000001,2022-04-17T15:00:00+02:00,2.47592844,1.6592186847816002,3.0000000239999998,2.01042001608336
0.89607,2022-04-17T16:00:00+02:00,1.4855570640000002,1.3311631183384802,3.0000000239999998,2.6882100215056797
1.02841,2022-04-17T17:00:00+02:00,2.7730398960000002,2.85182195944536,3.0000000239999998,3.08523002468184
1.59559,2022-04-17T18:00:00+02:00,4.951856952,7.901133434041681,3.0000000239999998,4.78677003829416
1.74592,2022-04-17T19:00:00+02:00,2.37689136,4.1498621632512,3.0000000239999998,5.23776004190208
1.77424,2022-04-17T20:00:00+02:00,2.47592844,4.3928912753856,3.0000000239999998,5.32272004258176
1.77434,2022-04-17T21:00:00+02:00,2.674002744,4.74459002878896,3.0000000239999998,5.32302004258416
1.72238,2022-04-17T22:00:00+02:00,2.47592844,4.2644896264872,3.0000000239999998,5.167140041337119
1.56267,2022-04-17T23:00:00+02:00,2.9711142,4.642871026914,3.0000000239999998,4.68801003750408
1.03473,2022-04-18T00:00:00+02:00,4.951856952,5.12383494394296,3.0000000239999998,3.1041900248335197
0.80076,2022-04-18T01:00:00+02:00,3.961485576,3.17219918983776,3.0000000239999998,2.40228001921824
0.83042,2022-04-18T02:00:00+02:00,4.060522728,3.37193928378576,3.0000000239999998,2.49126001993008
0.80076,2022-04-18T03:00:00+02:00,4.159559808,3.33080911185408,3.0000000239999998,2.40228001921824
0.84277,2022-04-18T04:00:00+02:00,4.25859696,3.5890177599792,3.0000000239999998,2.52831002022648
0.9115700000000001,2022-04-18T05:00:00+02:00,1.980742752,1.8055856704406403,3.0000000239999998,2.7347100218776803
1.25367,2022-04-18T06:00:00+02:00,1.683631368,2.11071813712056,3.0000000239999998,3.7610100300880798
1.42496,2022-04-18T07:00:00+02:00,1.7826685199999999,2.5402313342592,3.0000000239999998,4.27488003419904
1.37941,2022-04-18T08:00:00+02:00,2.37689136,3.2787077108976,3.0000000239999998,4.13823003310584
1.45425,2022-04-18T09:00:00+02:00,4.951856952,7.201237972446,3.0000000239999998,4.362750034902
1.51922,2022-04-18T10:00:00+02:00,4.159559808,6.31928645150976,3.0000000239999998,4.55766003646128
1.46611,2022-04-18T11:00:00+02:00,2.674002744,3.92038216300584,3.0000000239999998,4.39833003518664
1.44793,2022-04-18T12:00:00+02:00,1.7826685199999999,2.5811792301636,3.0000000239999998,4.343790034750319
1.2442,2022-04-18T13:00:00+02:00,2.277854208,2.8341062055935997,3.0000000239999998,3.7326000298607998
0.47866000000000003,2022-04-18T14:00:00+02:00,2.277854208,1.09031769520128,3.0000000239999998,1.43598001148784
0.74267,2022-04-18T15:00:00+02:00,2.47592844,1.8387977745348003,3.0000000239999998,2.22801001782408
1.47807,2022-04-18T16:00:00+02:00,1.4855570640000002,2.1957573295864803,3.0000000239999998,4.434210035473679
1.68228,2022-04-18T17:00:00+02:00,2.7730398960000002,4.665029556242881,3.0000000239999998,5.04684004037472
1.71415,2022-04-18T18:00:00+02:00,4.951856952,8.4882255942708,3.0000000239999998,5.1424500411395995
1.78668,2022-04-18T19:00:00+02:00,2.37689136,4.2467442550848,3.0000000239999998,5.360040042880319
